geo_accession	cell_line	treatment	tissue	dose_nM	time_hours
GSM3237769	COLO-205	sunitinib	Colon	0	6
GSM3237767	COLO-205	sunitinib	Colon	0	24
GSM3237774	COLO-205	sunitinib	Colon	200	2
GSM3237775	COLO-205	sunitinib	Colon	200	6
GSM3237773	COLO-205	sunitinib	Colon	200	24
GSM3237771	COLO-205	sunitinib	Colon	2000	2
GSM3237772	COLO-205	sunitinib	Colon	2000	6
GSM3237770	COLO-205	sunitinib	Colon	2000	24
GSM3238287	COLO-205	topotecan	Colon	0	2
GSM3238288	COLO-205	topotecan	Colon	0	6
GSM3238286	COLO-205	topotecan	Colon	0	24
GSM3238293	COLO-205	topotecan	Colon	10	2
GSM3238294	COLO-205	topotecan	Colon	10	6
GSM3238292	COLO-205	topotecan	Colon	10	24
GSM3238290	COLO-205	topotecan	Colon	1000	2
GSM3238291	COLO-205	topotecan	Colon	1000	6
GSM3238289	COLO-205	topotecan	Colon	1000	24
GSM3238814	COLO-205	vorinostat	Colon	0	2
GSM3238815	COLO-205	vorinostat	Colon	0	6
GSM3238813	COLO-205	vorinostat	Colon	0	24
GSM3238817	COLO-205	vorinostat	Colon	1000	2
GSM3238818	COLO-205	vorinostat	Colon	1000	6
GSM3238816	COLO-205	vorinostat	Colon	1000	24
GSM3238820	COLO-205	vorinostat	Colon	5000	2
GSM3238821	COLO-205	vorinostat	Colon	5000	6
GSM3238819	COLO-205	vorinostat	Colon	5000	24
GSM3231703	DU-145	5-Azacytidine	Prostate	0	2
GSM3231704	DU-145	5-Azacytidine	Prostate	0	6
GSM3231702	DU-145	5-Azacytidine	Prostate	0	24
GSM3231706	DU-145	5-Azacytidine	Prostate	1000	2
GSM3231707	DU-145	5-Azacytidine	Prostate	1000	6
GSM3231705	DU-145	5-Azacytidine	Prostate	1000	24
GSM3231709	DU-145	5-Azacytidine	Prostate	5000	2
GSM3231710	DU-145	5-Azacytidine	Prostate	5000	6
GSM3231708	DU-145	5-Azacytidine	Prostate	5000	24
GSM3232157	DU-145	bortezomib	Prostate	0	2
GSM3232158	DU-145	bortezomib	Prostate	0	6
GSM3232156	DU-145	bortezomib	Prostate	0	24
GSM3232163	DU-145	bortezomib	Prostate	10	2
GSM3232164	DU-145	bortezomib	Prostate	10	6
GSM3232162	DU-145	bortezomib	Prostate	10	24
GSM3232160	DU-145	bortezomib	Prostate	100	2
GSM3232161	DU-145	bortezomib	Prostate	100	6
GSM3232159	DU-145	bortezomib	Prostate	100	24
GSM3232665	DU-145	cisplatin	Prostate	0	2
GSM3232666	DU-145	cisplatin	Prostate	0	6
GSM3232664	DU-145	cisplatin	Prostate	0	24
GSM3232671	DU-145	cisplatin	Prostate	3000	2
GSM3232672	DU-145	cisplatin	Prostate	3000	6
GSM3232670	DU-145	cisplatin	Prostate	3000	24
GSM3232668	DU-145	cisplatin	Prostate	15000	2
GSM3232669	DU-145	cisplatin	Prostate	15000	6
GSM3232667	DU-145	cisplatin	Prostate	15000	24
GSM3234711	DU-145	geldanamycin	Prostate	0	2
GSM3234712	DU-145	geldanamycin	Prostate	0	6
GSM3234710	DU-145	geldanamycin	Prostate	0	24
GSM3234717	DU-145	geldanamycin	Prostate	100	2
GSM3234718	DU-145	geldanamycin	Prostate	100	6
GSM3234716	DU-145	geldanamycin	Prostate	100	24
GSM3234714	DU-145	geldanamycin	Prostate	1000	2
GSM3234715	DU-145	geldanamycin	Prostate	1000	6
GSM3234713	DU-145	geldanamycin	Prostate	1000	24
GSM3236210	DU-145	paclitaxel	Prostate	0	2
GSM3236211	DU-145	paclitaxel	Prostate	0	6
GSM3236209	DU-145	paclitaxel	Prostate	0	24
GSM3236216	DU-145	paclitaxel	Prostate	10	2
GSM3236217	DU-145	paclitaxel	Prostate	10	6
GSM3236215	DU-145	paclitaxel	Prostate	10	24
GSM3236213	DU-145	paclitaxel	Prostate	100	2
GSM3236214	DU-145	paclitaxel	Prostate	100	6
GSM3236212	DU-145	paclitaxel	Prostate	100	24
GSM3237255	DU-145	sorafenib	Prostate	0	2
GSM3237256	DU-145	sorafenib	Prostate	0	6
GSM3237254	DU-145	sorafenib	Prostate	0	24
GSM3237261	DU-145	sorafenib	Prostate	5000	2
GSM3237262	DU-145	sorafenib	Prostate	5000	6
GSM3237260	DU-145	sorafenib	Prostate	5000	24
GSM3237258	DU-145	sorafenib	Prostate	10000	2
GSM3237259	DU-145	sorafenib	Prostate	10000	6
GSM3237257	DU-145	sorafenib	Prostate	10000	24
GSM3238296	DU-145	topotecan	Prostate	0	2
GSM3238297	DU-145	topotecan	Prostate	0	6
GSM3238295	DU-145	topotecan	Prostate	0	24
GSM3238302	DU-145	topotecan	Prostate	10	2
GSM3238303	DU-145	topotecan	Prostate	10	6
GSM3238301	DU-145	topotecan	Prostate	10	24
GSM3238299	DU-145	topotecan	Prostate	1000	2
GSM3238300	DU-145	topotecan	Prostate	1000	6
GSM3238298	DU-145	topotecan	Prostate	1000	24
GSM3238823	DU-145	vorinostat	Prostate	0	2
GSM3238824	DU-145	vorinostat	Prostate	0	6
GSM3238822	DU-145	vorinostat	Prostate	0	24
GSM3238826	DU-145	vorinostat	Prostate	1000	2
GSM3238827	DU-145	vorinostat	Prostate	1000	6
GSM3238825	DU-145	vorinostat	Prostate	1000	24
GSM3238829	DU-145	vorinostat	Prostate	5000	2
GSM3238830	DU-145	vorinostat	Prostate	5000	6
GSM3238828	DU-145	vorinostat	Prostate	5000	24
GSM3233185	EKVX	dasatinib	Lung	0	2
GSM3233186	EKVX	dasatinib	Lung	0	6
GSM3233184	EKVX	dasatinib	Lung	0	24
GSM3233188	EKVX	dasatinib	Lung	100	2
GSM3233192	EKVX	dasatinib	Lung	100	6
GSM3233187	EKVX	dasatinib	Lung	100	24
GSM3233190	EKVX	dasatinib	Lung	2000	2
GSM3233191	EKVX	dasatinib	Lung	2000	6
GSM3233189	EKVX	dasatinib	Lung	2000	24
GSM3233687	EKVX	doxorubicin	Lung	0	2
GSM3233688	EKVX	doxorubicin	Lung	0	6
GSM3233686	EKVX	doxorubicin	Lung	0	24
GSM3233693	EKVX	doxorubicin	Lung	100	2
GSM3233694	EKVX	doxorubicin	Lung	100	6
GSM3233692	EKVX	doxorubicin	Lung	100	24
GSM3233690	EKVX	doxorubicin	Lung	1000	2
GSM3233691	EKVX	doxorubicin	Lung	1000	6
GSM3233689	EKVX	doxorubicin	Lung	1000	24
GSM3234720	EKVX	geldanamycin	Lung	0	2
GSM3234721	EKVX	geldanamycin	Lung	0	6
GSM3234719	EKVX	geldanamycin	Lung	0	24
GSM3234726	EKVX	geldanamycin	Lung	100	2
GSM3234727	EKVX	geldanamycin	Lung	100	6
GSM3234725	EKVX	geldanamycin	Lung	100	24
GSM3234723	EKVX	geldanamycin	Lung	1000	2
GSM3234724	EKVX	geldanamycin	Lung	1000	6
GSM3234722	EKVX	geldanamycin	Lung	1000	24
GSM3235225	EKVX	gemcitibine	Lung	0	2
GSM3235226	EKVX	gemcitibine	Lung	0	6
GSM3235224	EKVX	gemcitibine	Lung	0	24
GSM3235231	EKVX	gemcitibine	Lung	200	2
GSM3235232	EKVX	gemcitibine	Lung	200	6
GSM3235230	EKVX	gemcitibine	Lung	200	24
GSM3235228	EKVX	gemcitibine	Lung	2000	2
GSM3235229	EKVX	gemcitibine	Lung	2000	6
GSM3235227	EKVX	gemcitibine	Lung	2000	24
GSM3236219	EKVX	paclitaxel	Lung	0	2
GSM3236220	EKVX	paclitaxel	Lung	0	6
GSM3236218	EKVX	paclitaxel	Lung	0	24
GSM3236225	EKVX	paclitaxel	Lung	10	2
GSM3236226	EKVX	paclitaxel	Lung	10	6
GSM3236224	EKVX	paclitaxel	Lung	10	24
GSM3236222	EKVX	paclitaxel	Lung	100	2
GSM3236223	EKVX	paclitaxel	Lung	100	6
GSM3236221	EKVX	paclitaxel	Lung	100	24
GSM3236755	EKVX	sirolimus	Lung	0	2
GSM3236756	EKVX	sirolimus	Lung	0	6
GSM3236754	EKVX	sirolimus	Lung	0	24
GSM3236761	EKVX	sirolimus	Lung	10	2
GSM3236762	EKVX	sirolimus	Lung	10	6
GSM3236760	EKVX	sirolimus	Lung	10	24
GSM3236758	EKVX	sirolimus	Lung	100	2
GSM3236759	EKVX	sirolimus	Lung	100	6
GSM3236757	EKVX	sirolimus	Lung	100	24
GSM3237264	EKVX	sorafenib	Lung	0	2
GSM3237265	EKVX	sorafenib	Lung	0	6
GSM3237263	EKVX	sorafenib	Lung	0	24
GSM3237270	EKVX	sorafenib	Lung	5000	2
GSM3237271	EKVX	sorafenib	Lung	5000	6
GSM3237269	EKVX	sorafenib	Lung	5000	24
GSM3237267	EKVX	sorafenib	Lung	10000	2
GSM3237268	EKVX	sorafenib	Lung	10000	6
GSM3237266	EKVX	sorafenib	Lung	10000	24
GSM3238305	EKVX	topotecan	Lung	0	2
GSM3238306	EKVX	topotecan	Lung	0	6
GSM3238304	EKVX	topotecan	Lung	0	24
GSM3238311	EKVX	topotecan	Lung	10	2
GSM3238312	EKVX	topotecan	Lung	10	6
GSM3238310	EKVX	topotecan	Lung	10	24
GSM3238308	EKVX	topotecan	Lung	1000	2
GSM3238309	EKVX	topotecan	Lung	1000	6
GSM3238307	EKVX	topotecan	Lung	1000	24
GSM3238832	EKVX	vorinostat	Lung	0	2
GSM3238833	EKVX	vorinostat	Lung	0	6
GSM3238831	EKVX	vorinostat	Lung	0	24
GSM3238835	EKVX	vorinostat	Lung	1000	2
GSM3238836	EKVX	vorinostat	Lung	1000	6
GSM3238834	EKVX	vorinostat	Lung	1000	24
GSM3238838	EKVX	vorinostat	Lung	5000	2
GSM3238839	EKVX	vorinostat	Lung	5000	6
GSM3238837	EKVX	vorinostat	Lung	5000	24
GSM3232683	HCC-2998	cisplatin	Colon	0	2
GSM3232684	HCC-2998	cisplatin	Colon	0	6
GSM3232682	HCC-2998	cisplatin	Colon	0	24
GSM3232689	HCC-2998	cisplatin	Colon	3000	2
GSM3232690	HCC-2998	cisplatin	Colon	3000	6
GSM3232688	HCC-2998	cisplatin	Colon	3000	24
GSM3232686	HCC-2998	cisplatin	Colon	15000	2
GSM3232687	HCC-2998	cisplatin	Colon	15000	6
GSM3232685	HCC-2998	cisplatin	Colon	15000	24
GSM3233194	HCC-2998	dasatinib	Colon	0	2
GSM3233195	HCC-2998	dasatinib	Colon	0	6
GSM3233193	HCC-2998	dasatinib	Colon	0	24
GSM3233197	HCC-2998	dasatinib	Colon	100	2
GSM3233198	HCC-2998	dasatinib	Colon	100	6
GSM3233196	HCC-2998	dasatinib	Colon	100	24
GSM3233200	HCC-2998	dasatinib	Colon	2000	2
GSM3233201	HCC-2998	dasatinib	Colon	2000	6
GSM3233199	HCC-2998	dasatinib	Colon	2000	24
GSM3235234	HCC-2998	gemcitibine	Colon	0	2
GSM3235235	HCC-2998	gemcitibine	Colon	0	6
GSM3235233	HCC-2998	gemcitibine	Colon	0	24
GSM3235240	HCC-2998	gemcitibine	Colon	200	2
GSM3235241	HCC-2998	gemcitibine	Colon	200	6
GSM3235239	HCC-2998	gemcitibine	Colon	200	24
GSM3235237	HCC-2998	gemcitibine	Colon	2000	2
GSM3235238	HCC-2998	gemcitibine	Colon	2000	6
GSM3235236	HCC-2998	gemcitibine	Colon	2000	24
GSM3235730	HCC-2998	lapatinib	Colon	0	2
GSM3235731	HCC-2998	lapatinib	Colon	0	6
GSM3235729	HCC-2998	lapatinib	Colon	0	24
GSM3235736	HCC-2998	lapatinib	Colon	1000	2
GSM3235737	HCC-2998	lapatinib	Colon	1000	6
GSM3235735	HCC-2998	lapatinib	Colon	1000	24
GSM3235733	HCC-2998	lapatinib	Colon	10000	2
GSM3235734	HCC-2998	lapatinib	Colon	10000	6
GSM3235732	HCC-2998	lapatinib	Colon	10000	24
GSM3236228	HCC-2998	paclitaxel	Colon	0	2
GSM3236229	HCC-2998	paclitaxel	Colon	0	6
GSM3236227	HCC-2998	paclitaxel	Colon	0	24
GSM3236234	HCC-2998	paclitaxel	Colon	10	2
GSM3236235	HCC-2998	paclitaxel	Colon	10	6
GSM3236233	HCC-2998	paclitaxel	Colon	10	24
GSM3236231	HCC-2998	paclitaxel	Colon	100	2
GSM3236232	HCC-2998	paclitaxel	Colon	100	6
GSM3236230	HCC-2998	paclitaxel	Colon	100	24
GSM3236764	HCC-2998	sirolimus	Colon	0	2
GSM3236765	HCC-2998	sirolimus	Colon	0	6
GSM3236763	HCC-2998	sirolimus	Colon	0	24
GSM3236770	HCC-2998	sirolimus	Colon	10	2
GSM3236771	HCC-2998	sirolimus	Colon	10	6
GSM3236769	HCC-2998	sirolimus	Colon	10	24
GSM3236767	HCC-2998	sirolimus	Colon	100	2
GSM3236768	HCC-2998	sirolimus	Colon	100	6
GSM3236766	HCC-2998	sirolimus	Colon	100	24
GSM3238841	HCC-2998	vorinostat	Colon	0	2
GSM3238842	HCC-2998	vorinostat	Colon	0	6
GSM3238840	HCC-2998	vorinostat	Colon	0	24
GSM3238844	HCC-2998	vorinostat	Colon	1000	2
GSM3238845	HCC-2998	vorinostat	Colon	1000	6
GSM3238843	HCC-2998	vorinostat	Colon	1000	24
GSM3238847	HCC-2998	vorinostat	Colon	5000	2
GSM3238848	HCC-2998	vorinostat	Colon	5000	6
GSM3238846	HCC-2998	vorinostat	Colon	5000	24
GSM3231719	HCT-116	5-Azacytidine	Colon	0	2
GSM3231720	HCT-116	5-Azacytidine	Colon	0	6
GSM3231718	HCT-116	5-Azacytidine	Colon	0	24
GSM3231722	HCT-116	5-Azacytidine	Colon	1000	2
GSM3231723	HCT-116	5-Azacytidine	Colon	1000	6
GSM3231721	HCT-116	5-Azacytidine	Colon	1000	24
GSM3231725	HCT-116	5-Azacytidine	Colon	5000	2
GSM3231726	HCT-116	5-Azacytidine	Colon	5000	6
GSM3231724	HCT-116	5-Azacytidine	Colon	5000	24
GSM3232692	HCT-116	cisplatin	Colon	0	2
GSM3232693	HCT-116	cisplatin	Colon	0	6
GSM3232691	HCT-116	cisplatin	Colon	0	24
GSM3232698	HCT-116	cisplatin	Colon	3000	2
GSM3232699	HCT-116	cisplatin	Colon	3000	6
GSM3232697	HCT-116	cisplatin	Colon	3000	24
GSM3232695	HCT-116	cisplatin	Colon	15000	2
GSM3232696	HCT-116	cisplatin	Colon	15000	6
GSM3232694	HCT-116	cisplatin	Colon	15000	24
GSM3233696	HCT-116	doxorubicin	Colon	0	2
GSM3233697	HCT-116	doxorubicin	Colon	0	6
GSM3233695	HCT-116	doxorubicin	Colon	0	24
GSM3233702	HCT-116	doxorubicin	Colon	100	2
GSM3233703	HCT-116	doxorubicin	Colon	100	6
GSM3233701	HCT-116	doxorubicin	Colon	100	24
GSM3233699	HCT-116	doxorubicin	Colon	1000	2
GSM3233700	HCT-116	doxorubicin	Colon	1000	6
GSM3233698	HCT-116	doxorubicin	Colon	1000	24
GSM3235739	HCT-116	lapatinib	Colon	0	2
GSM3235740	HCT-116	lapatinib	Colon	0	6
GSM3235738	HCT-116	lapatinib	Colon	0	24
GSM3235745	HCT-116	lapatinib	Colon	1000	2
GSM3235746	HCT-116	lapatinib	Colon	1000	6
GSM3235744	HCT-116	lapatinib	Colon	1000	24
GSM3235742	HCT-116	lapatinib	Colon	10000	2
GSM3235743	HCT-116	lapatinib	Colon	10000	6
GSM3235741	HCT-116	lapatinib	Colon	10000	24
GSM3237282	HCT-116	sorafenib	Colon	0	2
GSM3237283	HCT-116	sorafenib	Colon	0	6
GSM3237281	HCT-116	sorafenib	Colon	0	24
GSM3237288	HCT-116	sorafenib	Colon	5000	2
GSM3237289	HCT-116	sorafenib	Colon	5000	6
GSM3237287	HCT-116	sorafenib	Colon	5000	24
GSM3237285	HCT-116	sorafenib	Colon	10000	2
GSM3237286	HCT-116	sorafenib	Colon	10000	6
GSM3237284	HCT-116	sorafenib	Colon	10000	24
GSM3237803	HCT-116	sunitinib	Colon	0	2
GSM3237804	HCT-116	sunitinib	Colon	0	6
GSM3237802	HCT-116	sunitinib	Colon	0	24
GSM3237809	HCT-116	sunitinib	Colon	200	2
GSM3237810	HCT-116	sunitinib	Colon	200	6
GSM3237808	HCT-116	sunitinib	Colon	200	24
GSM3237806	HCT-116	sunitinib	Colon	2000	2
GSM3237807	HCT-116	sunitinib	Colon	2000	6
GSM3237805	HCT-116	sunitinib	Colon	2000	24
GSM3238323	HCT-116	topotecan	Colon	0	2
GSM3238324	HCT-116	topotecan	Colon	0	6
GSM3238322	HCT-116	topotecan	Colon	0	24
GSM3238329	HCT-116	topotecan	Colon	10	2
GSM3238330	HCT-116	topotecan	Colon	10	6
GSM3238328	HCT-116	topotecan	Colon	10	24
GSM3238326	HCT-116	topotecan	Colon	1000	2
GSM3238327	HCT-116	topotecan	Colon	1000	6
GSM3238325	HCT-116	topotecan	Colon	1000	24
GSM3233212	HCT-15	dasatinib	Colon	0	2
GSM3233213	HCT-15	dasatinib	Colon	0	6
GSM3233211	HCT-15	dasatinib	Colon	0	24
GSM3233215	HCT-15	dasatinib	Colon	100	2
GSM3233216	HCT-15	dasatinib	Colon	100	6
GSM3233214	HCT-15	dasatinib	Colon	100	24
GSM3233218	HCT-15	dasatinib	Colon	2000	2
GSM3233219	HCT-15	dasatinib	Colon	2000	6
GSM3233217	HCT-15	dasatinib	Colon	2000	24
GSM3234227	HCT-15	erlotinib	Colon	0	2
GSM3234228	HCT-15	erlotinib	Colon	0	6
GSM3234226	HCT-15	erlotinib	Colon	0	24
GSM3234233	HCT-15	erlotinib	Colon	1000	2
GSM3234234	HCT-15	erlotinib	Colon	1000	6
GSM3234232	HCT-15	erlotinib	Colon	1000	24
GSM3234230	HCT-15	erlotinib	Colon	10000	2
GSM3234231	HCT-15	erlotinib	Colon	10000	6
GSM3234229	HCT-15	erlotinib	Colon	10000	24
GSM3234747	HCT-15	geldanamycin	Colon	0	2
GSM3234748	HCT-15	geldanamycin	Colon	0	6
GSM3234746	HCT-15	geldanamycin	Colon	0	24
GSM3234753	HCT-15	geldanamycin	Colon	100	2
GSM3234754	HCT-15	geldanamycin	Colon	100	6
GSM3234752	HCT-15	geldanamycin	Colon	100	24
GSM3234750	HCT-15	geldanamycin	Colon	1000	2
GSM3234751	HCT-15	geldanamycin	Colon	1000	6
GSM3234749	HCT-15	geldanamycin	Colon	1000	24
GSM3236246	HCT-15	paclitaxel	Colon	0	2
GSM3236247	HCT-15	paclitaxel	Colon	0	6
GSM3236245	HCT-15	paclitaxel	Colon	0	24
GSM3236252	HCT-15	paclitaxel	Colon	10	2
GSM3236253	HCT-15	paclitaxel	Colon	10	6
GSM3236251	HCT-15	paclitaxel	Colon	10	24
GSM3236249	HCT-15	paclitaxel	Colon	100	2
GSM3236250	HCT-15	paclitaxel	Colon	100	6
GSM3236248	HCT-15	paclitaxel	Colon	100	24
GSM3237291	HCT-15	sorafenib	Colon	0	2
GSM3237292	HCT-15	sorafenib	Colon	0	6
GSM3237290	HCT-15	sorafenib	Colon	0	24
GSM3237297	HCT-15	sorafenib	Colon	5000	2
GSM3237298	HCT-15	sorafenib	Colon	5000	6
GSM3237296	HCT-15	sorafenib	Colon	5000	24
GSM3237294	HCT-15	sorafenib	Colon	10000	2
GSM3237295	HCT-15	sorafenib	Colon	10000	6
GSM3237293	HCT-15	sorafenib	Colon	10000	24
GSM3237812	HCT-15	sunitinib	Colon	0	2
GSM3237813	HCT-15	sunitinib	Colon	0	6
GSM3237811	HCT-15	sunitinib	Colon	0	24
GSM3237818	HCT-15	sunitinib	Colon	200	2
GSM3237819	HCT-15	sunitinib	Colon	200	6
GSM3237817	HCT-15	sunitinib	Colon	200	24
GSM3237815	HCT-15	sunitinib	Colon	2000	2
GSM3237816	HCT-15	sunitinib	Colon	2000	6
GSM3237814	HCT-15	sunitinib	Colon	2000	24
GSM3238332	HCT-15	topotecan	Colon	0	2
GSM3238333	HCT-15	topotecan	Colon	0	6
GSM3238331	HCT-15	topotecan	Colon	0	24
GSM3238338	HCT-15	topotecan	Colon	10	2
GSM3238339	HCT-15	topotecan	Colon	10	6
GSM3238337	HCT-15	topotecan	Colon	10	24
GSM3238335	HCT-15	topotecan	Colon	1000	2
GSM3238336	HCT-15	topotecan	Colon	1000	6
GSM3238334	HCT-15	topotecan	Colon	1000	24
GSM3238859	HCT-15	vorinostat	Colon	0	2
GSM3238860	HCT-15	vorinostat	Colon	0	6
GSM3238858	HCT-15	vorinostat	Colon	0	24
GSM3238862	HCT-15	vorinostat	Colon	1000	2
GSM3238863	HCT-15	vorinostat	Colon	1000	6
GSM3238861	HCT-15	vorinostat	Colon	1000	24
GSM3238865	HCT-15	vorinostat	Colon	5000	2
GSM3238866	HCT-15	vorinostat	Colon	5000	6
GSM3238864	HCT-15	vorinostat	Colon	5000	24
GSM3232710	HL-60	cisplatin	Leukemia	0	2
GSM3232711	HL-60	cisplatin	Leukemia	0	6
GSM3232709	HL-60	cisplatin	Leukemia	0	24
GSM3232716	HL-60	cisplatin	Leukemia	3000	2
GSM3232717	HL-60	cisplatin	Leukemia	3000	6
GSM3232715	HL-60	cisplatin	Leukemia	3000	24
GSM3232713	HL-60	cisplatin	Leukemia	15000	2
GSM3232714	HL-60	cisplatin	Leukemia	15000	6
GSM3232712	HL-60	cisplatin	Leukemia	15000	24
GSM3233714	HL-60	doxorubicin	Leukemia	0	2
GSM3233715	HL-60	doxorubicin	Leukemia	0	6
GSM3233713	HL-60	doxorubicin	Leukemia	0	24
GSM3233720	HL-60	doxorubicin	Leukemia	100	2
GSM3233721	HL-60	doxorubicin	Leukemia	100	6
GSM3233719	HL-60	doxorubicin	Leukemia	100	24
GSM3233717	HL-60	doxorubicin	Leukemia	1000	2
GSM3233718	HL-60	doxorubicin	Leukemia	1000	6
GSM3233716	HL-60	doxorubicin	Leukemia	1000	24
GSM3234236	HL-60	erlotinib	Leukemia	0	2
GSM3234237	HL-60	erlotinib	Leukemia	0	6
GSM3234235	HL-60	erlotinib	Leukemia	0	24
GSM3234242	HL-60	erlotinib	Leukemia	1000	2
GSM3234243	HL-60	erlotinib	Leukemia	1000	6
GSM3234241	HL-60	erlotinib	Leukemia	1000	24
GSM3234239	HL-60	erlotinib	Leukemia	10000	2
GSM3234240	HL-60	erlotinib	Leukemia	10000	6
GSM3234238	HL-60	erlotinib	Leukemia	10000	24
GSM3237821	HL-60	sunitinib	Leukemia	0	2
GSM3237822	HL-60	sunitinib	Leukemia	0	6
GSM3237820	HL-60	sunitinib	Leukemia	0	24
GSM3237827	HL-60	sunitinib	Leukemia	200	2
GSM3237828	HL-60	sunitinib	Leukemia	200	6
GSM3237826	HL-60	sunitinib	Leukemia	200	24
GSM3237824	HL-60	sunitinib	Leukemia	2000	2
GSM3237825	HL-60	sunitinib	Leukemia	2000	6
GSM3237823	HL-60	sunitinib	Leukemia	2000	24
GSM3238341	HL-60	topotecan	Leukemia	0	2
GSM3238342	HL-60	topotecan	Leukemia	0	6
GSM3238340	HL-60	topotecan	Leukemia	0	24
GSM3238347	HL-60	topotecan	Leukemia	10	2
GSM3238348	HL-60	topotecan	Leukemia	10	6
GSM3238346	HL-60	topotecan	Leukemia	10	24
GSM3238344	HL-60	topotecan	Leukemia	1000	2
GSM3238345	HL-60	topotecan	Leukemia	1000	6
GSM3238343	HL-60	topotecan	Leukemia	1000	24
GSM3238868	HL-60	vorinostat	Leukemia	0	2
GSM3238869	HL-60	vorinostat	Leukemia	0	6
GSM3238867	HL-60	vorinostat	Leukemia	0	24
GSM3238871	HL-60	vorinostat	Leukemia	1000	2
GSM3238872	HL-60	vorinostat	Leukemia	1000	6
GSM3238870	HL-60	vorinostat	Leukemia	1000	24
GSM3238874	HL-60	vorinostat	Leukemia	5000	2
GSM3238875	HL-60	vorinostat	Leukemia	5000	6
GSM3238873	HL-60	vorinostat	Leukemia	5000	24
GSM3232211	HOP-62	bortezomib	Lung	0	2
GSM3232212	HOP-62	bortezomib	Lung	0	6
GSM3232210	HOP-62	bortezomib	Lung	0	24
GSM3232209	HOP-62	bortezomib	Lung	10	2
GSM3232217	HOP-62	bortezomib	Lung	10	6
GSM3232216	HOP-62	bortezomib	Lung	10	24
GSM3232214	HOP-62	bortezomib	Lung	100	2
GSM3232215	HOP-62	bortezomib	Lung	100	6
GSM3232213	HOP-62	bortezomib	Lung	100	24
GSM3233723	HOP-62	doxorubicin	Lung	0	2
GSM3233724	HOP-62	doxorubicin	Lung	0	6
GSM3233722	HOP-62	doxorubicin	Lung	0	24
GSM3233729	HOP-62	doxorubicin	Lung	100	2
GSM3233730	HOP-62	doxorubicin	Lung	100	6
GSM3233728	HOP-62	doxorubicin	Lung	100	24
GSM3233726	HOP-62	doxorubicin	Lung	1000	2
GSM3233727	HOP-62	doxorubicin	Lung	1000	6
GSM3233725	HOP-62	doxorubicin	Lung	1000	24
GSM3234762	HOP-62	geldanamycin	Lung	0	2
GSM3234763	HOP-62	geldanamycin	Lung	0	6
GSM3234761	HOP-62	geldanamycin	Lung	0	24
GSM3234768	HOP-62	geldanamycin	Lung	100	2
GSM3234769	HOP-62	geldanamycin	Lung	100	6
GSM3234767	HOP-62	geldanamycin	Lung	100	24
GSM3234765	HOP-62	geldanamycin	Lung	1000	2
GSM3234766	HOP-62	geldanamycin	Lung	1000	6
GSM3234764	HOP-62	geldanamycin	Lung	1000	24
GSM3235756	HOP-62	lapatinib	Lung	0	2
GSM3235757	HOP-62	lapatinib	Lung	0	6
GSM3235755	HOP-62	lapatinib	Lung	0	24
GSM3235762	HOP-62	lapatinib	Lung	1000	2
GSM3235763	HOP-62	lapatinib	Lung	1000	6
GSM3235761	HOP-62	lapatinib	Lung	1000	24
GSM3235759	HOP-62	lapatinib	Lung	10000	2
GSM3235760	HOP-62	lapatinib	Lung	10000	6
GSM3235758	HOP-62	lapatinib	Lung	10000	24
GSM3236263	HOP-62	paclitaxel	Lung	0	2
GSM3236264	HOP-62	paclitaxel	Lung	0	6
GSM3236262	HOP-62	paclitaxel	Lung	0	24
GSM3236269	HOP-62	paclitaxel	Lung	10	2
GSM3236270	HOP-62	paclitaxel	Lung	10	6
GSM3236268	HOP-62	paclitaxel	Lung	10	24
GSM3236266	HOP-62	paclitaxel	Lung	100	2
GSM3236267	HOP-62	paclitaxel	Lung	100	6
GSM3236265	HOP-62	paclitaxel	Lung	100	24
GSM3236798	HOP-62	sirolimus	Lung	0	2
GSM3236799	HOP-62	sirolimus	Lung	0	6
GSM3236797	HOP-62	sirolimus	Lung	0	24
GSM3236804	HOP-62	sirolimus	Lung	10	2
GSM3236805	HOP-62	sirolimus	Lung	10	6
GSM3236803	HOP-62	sirolimus	Lung	10	24
GSM3236801	HOP-62	sirolimus	Lung	100	2
GSM3236802	HOP-62	sirolimus	Lung	100	6
GSM3236800	HOP-62	sirolimus	Lung	100	24
GSM3237308	HOP-62	sorafenib	Lung	0	2
GSM3237309	HOP-62	sorafenib	Lung	0	6
GSM3237307	HOP-62	sorafenib	Lung	0	24
GSM3237314	HOP-62	sorafenib	Lung	5000	2
GSM3237315	HOP-62	sorafenib	Lung	5000	6
GSM3237313	HOP-62	sorafenib	Lung	5000	24
GSM3237311	HOP-62	sorafenib	Lung	10000	2
GSM3237312	HOP-62	sorafenib	Lung	10000	6
GSM3237310	HOP-62	sorafenib	Lung	10000	24
GSM3237830	HOP-62	sunitinib	Lung	0	2
GSM3237831	HOP-62	sunitinib	Lung	0	6
GSM3237829	HOP-62	sunitinib	Lung	0	24
GSM3237836	HOP-62	sunitinib	Lung	200	2
GSM3237837	HOP-62	sunitinib	Lung	200	6
GSM3237835	HOP-62	sunitinib	Lung	200	24
GSM3237833	HOP-62	sunitinib	Lung	2000	2
GSM3237834	HOP-62	sunitinib	Lung	2000	6
GSM3237832	HOP-62	sunitinib	Lung	2000	24
